Numero da Linha Original;Protocolo;Descricao da Mensagem;Texto da Linha Original
00000000000002;10020092915453554803614;EXECUCAO OK;REGAP,1,INCL,03896307,0117,20200902,20200922,20210921,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000003;10020092915453554803614;EXECUCAO OK;REGAP,2,INCL,3007,1,20200914,20200914
00000000000004;10020092915453554803614;EXECUCAO OK;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000005;10020092915453554803614;EXECUCAO OK;REGAP,5,INCL,99999,,300000
00000000000006;10020092915453554803614;EXECUCAO OK;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000007;10020092915453554803614;EXECUCAO OK;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000008;10020092915453554803614;EXECUCAO OK;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000009;10020092915453554803614;EXECUCAO OK;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000010;10020092915453554803614;EXECUCAO OK;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000011;10020092915453558902256;EXECUCAO OK;REGAP,1,INCL,03896307,0118,20200910,20200930,20210929,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000012;10020092915453558902256;EXECUCAO OK;REGAP,2,INCL,3007,1,20200914,20200914
00000000000013;10020092915453558902256;EXECUCAO OK;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000014;10020092915453558902256;EXECUCAO OK;REGAP,5,INCL,99999,,300000
00000000000015;10020092915453558902256;EXECUCAO OK;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000016;10020092915453558902256;EXECUCAO OK;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000017;10020092915453558902256;EXECUCAO OK;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000018;10020092915453558902256;EXECUCAO OK;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000019;10020092915453558902256;EXECUCAO OK;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000020;10020092915453558909905;EXECUCAO OK;REGAP,1,INCL,03896307,0119,20200901,20200831,20210929,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000021;10020092915453558909905;EXECUCAO OK;REGAP,2,INCL,3007,1,20200914,20200914
00000000000022;10020092915453558909905;EXECUCAO OK;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000023;10020092915453558909905;EXECUCAO OK;REGAP,5,INCL,99999,,300000
00000000000024;10020092915453558909905;EXECUCAO OK;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000025;10020092915453558909905;EXECUCAO OK;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000026;10020092915453558909905;EXECUCAO OK;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000027;10020092915453558909905;EXECUCAO OK;REGAP,8,INCL,12345678910,0776,011,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000028;10020092915453558909905;EXECUCAO OK;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000029;10020092915453558908217;EXECUCAO OK;REGAP,1,INCL,03896307,0120,20200901,20200831,20210929,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000030;10020092915453558908217;EXECUCAO OK;REGAP,2,INCL,3007,1,20200914,20200914
00000000000031;10020092915453558908217;EXECUCAO OK;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000032;10020092915453558908217;EXECUCAO OK;REGAP,5,INCL,99999,,300000
00000000000033;10020092915453558908217;EXECUCAO OK;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000034;10020092915453558908217;EXECUCAO OK;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000035;10020092915453558908217;EXECUCAO OK;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000036;10020092915453558908217;EXECUCAO OK;REGAP,8,INCL,12345678910,0776,004,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000037;10020092915453558908217;EXECUCAO OK;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000038;10020092915453591904549;EXECUCAO OK;REGAP,1,INCL,03896307,0121,20200903,20200925,20210925,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000039;10020092915453591904549;EXECUCAO OK;REGAP,2,INCL,3007,1,20200914,20200914
00000000000040;10020092915453591904549;EXECUCAO OK;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000041;10020092915453591904549;EXECUCAO OK;REGAP,5,INCL,99999,,300000
00000000000042;10020092915453591904549;EXECUCAO OK;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000043;10020092915453591904549;EXECUCAO OK;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000044;10020092915453591904549;EXECUCAO OK;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000045;10020092915453591904549;EXECUCAO OK;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000046;10020092915453591904549;EXECUCAO OK;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000047;;Erro arquivo: N∫ da ApÛlice j· cadastrada;REGAP,1,INCL,03896307,118654,20200918,20200917,20210917,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000048;;Erro no bloco;REGAP,2,INCL,3007,1,20200914,20200914
00000000000049;;Erro no bloco;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000050;;Erro no bloco;REGAP,5,INCL,99999,,300000
00000000000051;;Erro no bloco;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000052;;Erro no bloco;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000053;;Erro no bloco;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000054;;Erro no bloco;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000055;;Erro no bloco;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000056;;Erro arquivo: N∫ da ApÛlice j· cadastrada;REGAP,1,INCL,03896307,119654,20200912,20200915,20210915,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000057;;Erro no bloco;REGAP,2,INCL,3007,1,20200914,20200914
00000000000058;;Erro no bloco;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000059;;Erro no bloco;REGAP,5,INCL,99999,,300000
00000000000060;;Erro no bloco;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000061;;Erro no bloco;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000062;;Erro no bloco;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000063;;Erro no bloco;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000064;;Erro no bloco;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000065;;Erro arquivo: N∫ da ApÛlice j· cadastrada;REGAP,1,INCL,03896307,116654,20200914,20200929,20210929,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000066;;Erro no bloco;REGAP,2,INCL,3007,1,20200914,20200914
00000000000067;;Erro no bloco;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000068;;Erro no bloco;REGAP,5,INCL,99999,,300000
00000000000069;;Erro no bloco;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000070;;Erro no bloco;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000071;;Erro no bloco;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000072;;Erro no bloco;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000073;;Erro no bloco;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000074;;Erro arquivo: N∫ da ApÛlice j· cadastrada;REGAP,1,INCL,03896307,115654,20200914,20200929,20210929,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000075;;Erro no bloco;REGAP,2,INCL,3007,1,20200914,20200914
00000000000076;;Erro no bloco;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000077;;Erro no bloco;REGAP,5,INCL,99999,,300000
00000000000078;;Erro no bloco;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000079;;Erro no bloco;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000080;;Erro no bloco;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000081;;Erro no bloco;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000082;;Erro no bloco;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000083;;Erro arquivo: N∫ da ApÛlice j· cadastrada;REGAP,1,INCL,03896307,114654,20200914,20200901,20210901,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000084;;Erro no bloco;REGAP,2,INCL,3007,1,20200914,20200914
00000000000085;;Erro no bloco;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000086;;Erro no bloco;REGAP,5,INCL,99999,,300000
00000000000087;;Erro no bloco;REGAP,6,INCL,1,S,PF,98765432100,,TESTE TOMADOR,,,,,,,,
00000000000088;;Erro no bloco;REGAP,6,INCL,2,S,PF,05634981026,,TESTE SEGURADO,,,,,1,,,
00000000000089;;Erro no bloco;REGAP,7,INCL,1,,OBJETO TESTE,DESCRICAO OBJETO,,,,,,,,
00000000000090;;Erro no bloco;REGAP,8,INCL,12345678910,0775,001,DESCRICAO COBRERTURA,500000,20000,,,,,,,,,,,,,,,,,
00000000000091;;Erro no bloco;REGAP,9,INCL,1,1750,BRL,,20200818
00000000000092;;Erro arquivo: N∫ da ApÛlice j· cadastrada;REGAP,1,INCL,03896307,113654,20200911,20200902,20210902,1,1,,25000,,30000,55000,,,,,,BRL,,100000,,,,,8
00000000000093;;Erro no bloco;REGAP,2,INCL,3007,1,20200914,20200914
00000000000094;;Erro no bloco;REGAP,3,INCL,1,DESCRICAO INTERMEDIADOR,TESTE INTERMEDIADOR,,PF,S,98765432100,10000,,,,1,
00000000000095;;Erro no bloco;REGAP,5,INCL,99999,,osvaldo1
